QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USGALLUP.060710.R01,Approve,47,Do you approve or disapprove of the job Barack Obama is doing as president?,,,06/7/2010,Gallup Organization,,Gallup Poll,06/4/2010,06/6/2010,Y,National adult,1535,,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones.
USGALLUP.060710.R01,Disapprove,44,Do you approve or disapprove of the job Barack Obama is doing as president?,,,06/7/2010,Gallup Organization,,Gallup Poll,06/4/2010,06/6/2010,Y,National adult,1535,,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones.
USGALLUP.060710.R01,No opinion,9,Do you approve or disapprove of the job Barack Obama is doing as president?,,,06/7/2010,Gallup Organization,,Gallup Poll,06/4/2010,06/6/2010,Y,National adult,1535,,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones.
USGALLUP.022409A.R01,Approve,59,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/24/2009,Gallup Organization,,Gallup Poll,02/21/2009,02/23/2009,Y,National adult,1533,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.022409A.R01,Disapprove,25,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/24/2009,Gallup Organization,,Gallup Poll,02/21/2009,02/23/2009,Y,National adult,1533,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.022409A.R01,No opinion,16,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/24/2009,Gallup Organization,,Gallup Poll,02/21/2009,02/23/2009,Y,National adult,1533,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.05OCT28.R01,Approve,41,Do you approve or disapprove of the way George W. Bush is handing his job as president?,,,10/31/2005,Gallup Organization,Cable News Network (CNN); USA Today,Gallup/CNN/USA Today Poll,10/28/2005,10/30/2005,Y,National adult,800,Q1,Telephone Interview,
USGALLUP.05OCT28.R01,Disapprove,56,Do you approve or disapprove of the way George W. Bush is handing his job as president?,,,10/31/2005,Gallup Organization,Cable News Network (CNN); USA Today,Gallup/CNN/USA Today Poll,10/28/2005,10/30/2005,Y,National adult,800,Q1,Telephone Interview,
USGALLUP.05OCT28.R01,No opinion,3,Do you approve or disapprove of the way George W. Bush is handing his job as president?,,,10/31/2005,Gallup Organization,Cable News Network (CNN); USA Today,Gallup/CNN/USA Today Poll,10/28/2005,10/30/2005,Y,National adult,800,Q1,Telephone Interview,
USGALLUP.022309.R01,Approve,63,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/23/2009,Gallup Organization,,Gallup Poll,02/19/2009,02/21/2009,Y,National adult,1614,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.022309.R01,Disapprove,24,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/23/2009,Gallup Organization,,Gallup Poll,02/19/2009,02/21/2009,Y,National adult,1614,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.022309.R01,No opinion,13,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/23/2009,Gallup Organization,,Gallup Poll,02/19/2009,02/21/2009,Y,National adult,1614,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.061909A.R01,Approve,58,Do you approve or disapprove of the job Barack Obama is doing as president?,,,06/19/2009,Gallup Organization,,Gallup Poll,06/16/2009,06/18/2009,Y,National adult,1504,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.061909A.R01,Disapprove,33,Do you approve or disapprove of the job Barack Obama is doing as president?,,,06/19/2009,Gallup Organization,,Gallup Poll,06/16/2009,06/18/2009,Y,National adult,1504,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.061909A.R01,No opinion,9,Do you approve or disapprove of the job Barack Obama is doing as president?,,,06/19/2009,Gallup Organization,,Gallup Poll,06/16/2009,06/18/2009,Y,National adult,1504,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.022709.R01,Approve,63,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/27/2009,Gallup Organization,,Gallup Poll,02/24/2009,02/26/2009,Y,National adult,1551,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.022709.R01,Disapprove,24,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/27/2009,Gallup Organization,,Gallup Poll,02/24/2009,02/26/2009,Y,National adult,1551,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.022709.R01,Don't know/No opinion,13,Do you approve or disapprove of the job Barack Obama is doing as president?,,,02/27/2009,Gallup Organization,,Gallup Poll,02/24/2009,02/26/2009,Y,National adult,1551,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.031609.R01,Approve,61,Do you approve or disapprove of the job Barack Obama is doing as president?,,,03/16/2009,Gallup Organization,,Gallup Poll,03/13/2009,03/15/2009,Y,National adult,1547,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.031609.R01,Disapprove,28,Do you approve or disapprove of the job Barack Obama is doing as president?,,,03/16/2009,Gallup Organization,,Gallup Poll,03/13/2009,03/15/2009,Y,National adult,1547,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
