year,var,efficacy,short_label,election,version,label_var,label_val,value
2008,V083079a,internal,COMPLEX,pre,[VERSION C],"Sometimes, politics and government seem so complicated that a person like me can't really understand what's going on.","-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -1; 1; 2; 3; 4; 5
2008,V083079b,internal,UNDERSTAND,pre,[VERSION C],I feel that I have a pretty good understanding of the important political issues facing our country.,"-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -1; 1; 2; 3; 4; 5
2008,V083079c,external,NOCARE,pre,[VERSION C],Public officials don't care much what people like me think,"-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -1; 1; 2; 3; 4; 5
2008,V083079d,external,NOSAY,pre,[VERSION C],People like me don't have any say about what the government does.,"-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -1; 1; 2; 3; 4; 5
2008,V083080a,internal,COMPLEX,pre,[VERSION D],How often do politics and government seem so complicated that you can't really understand what's going on?,"-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION C; 1. All the time; 2. Most of the time; 3. About half the time; 4. Some of the time; 5. Never",-1; 1; 2; 3; 4; 5
2008,V083080b,internal,UNDERSTAND,pre,[VERSION D],How well do you understand the important political issues facing our country?,"-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION C; 1. Extremely well; 2. Very well; 3. Moderately well; 4. Slightly well; 5. Not well at all",-8; -1; 1; 2; 3; 4; 5
2008,V083080c,external,NOCARE,pre,[VERSION D],How much do public officials care what people like you think?,"-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION C; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all",-8; -1; 1; 2; 3; 4; 5
2008,V083080d,external,NOSAY,pre,[VERSION D],How much can people like you affect what the government does?,"-9. Refused; -8. Don't know; -1. INAP, R selected for VERSION C; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all",-8; -1; 1; 2; 3; 4; 5
2008,V085151a,internal,COMPLEX,post,[VERSION C],"Sometimes, politics and government seem so complicated that a person like me can't really understand what's going on.","-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -2; -1; 1; 2; 3; 4; 5
2008,V085151b,internal,UNDERSTAND,post,[VERSION C],I feel that I have a pretty good understanding of the important political issues facing our country.,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -2; -1; 1; 2; 3; 4; 5
2008,V085151c,external,NOCARE,post,[VERSION C],Public officials don't care much what people like me think,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -2; -1; 1; 2; 3; 4; 5
2008,V085151d,external,NOSAY,post,[VERSION C],People like me don't have any say about what the government does.,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION D; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -2; -1; 1; 2; 3; 4; 5
2008,V085152a,internal,COMPLEX,post,[VERSION D],How often do politics and government seem so complicated that you can't really understand what's going on?,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION C; 1. All the time; 2. Most of the time; 3. About half the time; 4. Some of the time; 5. Never",-8; -2; -1; 1; 2; 3; 4; 5
